City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
69,sumbe,-11.2061,13.8437,74.7,83,52,7.27,AO,2023-02-09 00:08:10
70,pedernales,18.0384,-71.744,77.59,67,0,6.13,DO,2023-02-09 00:08:11
71,pospelikha,51.95,81.7667,-11.58,100,96,5.35,RU,2023-02-09 00:08:11
72,hofn,64.2539,-15.2082,26.46,52,48,19.22,IS,2023-02-09 00:08:12
73,lishu,43.3047,124.3278,15.4,64,69,4.76,CN,2023-02-09 00:08:13
74,rikitea,-23.1203,-134.9692,79.81,73,18,11.5,PF,2023-02-09 00:08:13
75,yellowknife,62.456,-114.3525,-6.45,84,20,8.05,CA,2023-02-09 00:05:01
76,tuktoyaktuk,69.4541,-133.0374,-24.61,98,98,4.63,CA,2023-02-09 00:08:14
77,bambous virieux,-20.3428,57.7575,79.21,82,26,11.79,MU,2023-02-09 00:08:14
78,floriano,-6.7669,-43.0225,80.29,45,100,4.74,BR,2023-02-09 00:05:51
79,albany,42.6001,-73.9662,38.23,70,19,5.57,US,2023-02-09 00:03:28
80,lima,-12.0432,-77.0282,73.65,78,0,13.8,PE,2023-02-09 00:05:25
81,kapaa,22.0752,-159.319,77.47,65,100,21.85,US,2023-02-09 00:08:16
82,batticaloa,7.7102,81.6924,76.69,84,96,7.54,LK,2023-02-09 00:06:17
83,kiruna,67.8557,20.2251,31.12,64,75,24.16,SE,2023-02-09 00:08:16
84,rivers,50.0308,-100.2403,29.71,95,100,4.68,CA,2023-02-09 00:08:17
85,aksarka,66.5606,67.7975,13.17,85,98,13.56,RU,2023-02-09 00:08:18
86,kisangani,0.5167,25.2,69.87,85,28,0.76,CD,2023-02-09 00:08:18
87,pangody,65.85,74.4859,6.91,95,99,14.45,RU,2023-02-09 00:08:19
88,teofilo otoni,-17.8575,-41.5053,73.26,73,87,4.72,BR,2023-02-09 00:03:27
89,kidal,18.4411,1.4078,75.63,14,25,9.28,ML,2023-02-09 00:08:20
90,moree,-29.4667,149.85,77.16,48,95,9.73,AU,2023-02-09 00:08:21
91,kruisfontein,-34.0033,24.7314,60.89,81,100,3.02,ZA,2023-02-09 00:08:21
92,tecoanapa,16.5167,-98.75,81.66,63,0,8.59,MX,2023-02-09 00:08:21
93,castro,-24.7911,-50.0119,65.89,73,32,5.7,BR,2023-02-09 00:08:22
94,victoria,22.2855,114.1577,65.97,89,97,11.01,HK,2023-02-09 00:05:09
95,kysyl-syr,63.8986,122.7617,-56.83,100,74,3.2,RU,2023-02-09 00:08:23
96,yulara,-25.2406,130.9889,92.26,21,5,12.41,AU,2023-02-09 00:08:23
97,chuy,-33.6971,-53.4616,73.17,81,99,12.71,UY,2023-02-09 00:08:24
98,djambala,-2.5447,14.7533,70.38,84,81,3.83,CG,2023-02-09 00:08:24
99,ola,59.5833,151.2833,-8.86,80,83,7.29,RU,2023-02-09 00:08:25
100,christchurch,-43.5333,172.6333,68.2,52,75,11.5,NZ,2023-02-09 00:08:25
101,mansa,29.9833,75.3833,52.34,44,98,2.19,IN,2023-02-09 00:08:25
102,aykhal,66.0,111.5,-41.35,100,92,5.59,RU,2023-02-09 00:08:26
103,hami,42.8,93.45,31.19,52,22,7.61,CN,2023-02-09 00:08:26
104,yar-sale,66.8333,70.8333,17.53,95,80,12.95,RU,2023-02-09 00:08:27
105,whitehaven,54.549,-3.5841,40.86,100,100,1.01,GB,2023-02-09 00:08:27
106,ternate,0.8,127.4,78.76,80,99,7.4,ID,2023-02-09 00:08:28
107,alta floresta,-9.8756,-56.0861,72.79,93,86,0.87,BR,2023-02-09 00:08:29
108,atbasar,51.8,68.3333,-18.56,100,64,4.07,KZ,2023-02-09 00:08:29
109,ballina,-28.8667,153.5667,75.02,86,85,10.04,AU,2023-02-09 00:08:30
110,hermanus,-34.4187,19.2345,68.81,81,0,13.96,ZA,2023-02-09 00:08:31
111,nouadhibou,20.931,-17.0347,62.65,73,71,15.79,MR,2023-02-09 00:08:31
112,kaitangata,-46.2817,169.8464,56.62,47,69,12.39,NZ,2023-02-09 00:08:32
113,east london,-33.0153,27.9116,68.2,91,100,1.5,ZA,2023-02-09 00:08:32
114,sakakah,29.9697,40.2064,42.55,69,25,5.91,SA,2023-02-09 00:08:32
115,prince rupert,54.3161,-130.3201,39.29,87,100,8.05,CA,2023-02-09 00:08:33
116,bemidji,47.4736,-94.8803,42.57,65,0,5.75,US,2023-02-09 00:08:33
117,te anau,-45.4167,167.7167,55.8,50,65,4.5,NZ,2023-02-09 00:08:34
118,vila velha,-20.3297,-40.2925,78.94,82,100,4.0,BR,2023-02-09 00:08:34
119,khandyga,62.6667,135.6,-51.81,100,93,1.81,RU,2023-02-09 00:08:34
120,fairbanks,64.8378,-147.7164,8.6,83,100,0.0,US,2023-02-09 00:05:00
121,olga,43.7444,135.2892,14.18,62,3,6.96,RU,2023-02-09 00:08:34
122,busselton,-33.65,115.3333,65.59,69,2,12.46,AU,2023-02-09 00:08:35
123,maloy,61.9353,5.1136,37.13,96,100,24.23,NO,2023-02-09 00:08:35
124,mahebourg,-20.4081,57.7,79.25,82,30,12.01,MU,2023-02-09 00:08:36
125,comodoro rivadavia,-45.8667,-67.5,80.69,28,7,11.63,AR,2023-02-09 00:08:36
126,batagay-alyta,67.8006,130.4114,-45.56,99,58,3.38,RU,2023-02-09 00:08:37
127,husavik,66.0449,-17.3389,22.14,68,99,17.25,IS,2023-02-09 00:08:37
128,brusque,-27.0981,-48.9175,73.45,98,46,2.68,BR,2023-02-09 00:08:37
129,clyde river,70.4692,-68.5914,-33.41,98,90,3.33,CA,2023-02-09 00:08:38
130,iowa city,41.6611,-91.5302,42.75,61,0,5.75,US,2023-02-09 00:06:34
131,cabo san lucas,22.8909,-109.9124,78.1,42,0,10.36,MX,2023-02-09 00:08:38
132,hithadhoo,-0.6,73.0833,81.1,73,73,9.37,MV,2023-02-09 00:08:38
133,miri,4.4148,114.0089,76.8,87,38,3.29,MY,2023-02-09 00:08:39
134,ulaanbaatar,47.9077,106.8832,-4.97,97,56,3.91,MN,2023-02-09 00:07:26
135,port-gentil,-0.7193,8.7815,80.92,80,32,11.72,GA,2023-02-09 00:08:39
136,bogatoye,53.0601,51.3325,15.19,96,100,7.0,RU,2023-02-09 00:08:39
137,batemans bay,-35.7167,150.1833,68.09,97,100,6.33,AU,2023-02-09 00:08:40
138,kodiak,57.79,-152.4072,33.31,25,0,6.91,US,2023-02-09 00:08:40
139,tazovskiy,67.4667,78.7,4.55,93,100,16.24,RU,2023-02-09 00:03:42
140,campbell river,50.0163,-125.2446,42.26,93,100,12.66,CA,2023-02-09 00:07:33
141,hay river,60.8156,-115.7999,5.52,94,13,6.49,CA,2023-02-09 00:08:41
142,sao filipe,14.8961,-24.4956,69.87,71,30,9.55,CV,2023-02-09 00:08:41
143,agde,43.3108,3.4758,46.94,71,0,5.01,FR,2023-02-09 00:08:41
144,iqaluit,63.7506,-68.5145,-10.79,87,100,13.65,CA,2023-02-09 00:08:41
145,nanortalik,60.1432,-45.2371,26.94,86,100,5.35,GL,2023-02-09 00:08:42
146,rocha,-34.4833,-54.3333,73.58,71,69,13.02,UY,2023-02-09 00:08:42
147,santa ana,33.7456,-117.8678,76.95,37,0,9.22,US,2023-02-09 00:07:44
148,altay,47.8667,88.1167,18.1,66,99,6.35,CN,2023-02-09 00:08:42
149,krasnovishersk,60.4078,57.082,24.3,93,99,3.98,RU,2023-02-09 00:08:43
150,ursulo galvan,22.7333,-98.3,75.51,57,56,12.12,MX,2023-02-09 00:08:43
151,tevaitoa,-16.7833,-151.5,80.94,72,15,9.13,PF,2023-02-09 00:08:43
152,zhuanghe,39.7008,122.9911,30.74,36,100,5.44,CN,2023-02-09 00:08:44
153,chifeng,42.2683,118.9636,21.76,29,100,2.93,CN,2023-02-09 00:08:44
154,hamilton,39.1834,-84.5333,53.42,73,100,5.75,US,2023-02-09 00:06:32
155,krasnoselkup,65.7,82.4667,-1.5,91,100,15.32,RU,2023-02-09 00:08:44
